,time,d2m,t2m,slhf,ssr,str,sshf,tp,lcc,r
0,1975-01-01 12:00:00,288.9578,303.4462,-195.82944444444445,741.4827777777778,-132.6951222222222,-244.23126666666667,0.0,0.0,39.066547
1,1975-01-01 12:00:00,288.9578,303.4462,-195.82944444444445,741.4827777777778,-132.6951222222222,-244.23126666666667,0.0,0.0,39.066547
2,1975-01-02 12:00:00,291.4082,302.88943,-191.60425,737.4356111111111,-124.28336666666667,-260.89680555555555,0.0,0.08816931,48.188683
3,1975-01-02 12:00:00,291.4082,302.88943,-191.60425,737.4356111111111,-124.28336666666667,-260.89680555555555,0.0,0.08816931,48.188683
4,1975-01-03 12:00:00,292.8901,302.84662,-187.37905555555554,730.0080555555555,-117.52571111111111,-271.65715277777775,0.0,0.22667968,52.52997
5,1975-01-03 12:00:00,292.8901,302.84662,-187.37905555555554,730.0080555555555,-117.52571111111111,-271.65715277777775,0.0,0.22667968,52.52997
6,1975-01-04 12:00:00,290.7126,304.0986,-173.15419444444444,696.26625,-122.08183888888888,-257.2949722222222,0.0,0.10077366,40.708115
7,1975-01-04 12:00:00,290.7126,304.0986,-173.15419444444444,696.26625,-122.08183888888888,-257.2949722222222,0.0,0.10077366,40.708115
8,1975-01-05 12:00:00,291.67923,302.96582,-177.91026111111108,731.3105555555555,-122.91182222222223,-277.6301111111111,0.0,0.084415495,49.787094
9,1975-01-05 12:00:00,291.67923,302.96582,-177.91026111111108,731.3105555555555,-122.91182222222223,-277.6301111111111,0.0,0.084415495,49.787094
10,1975-01-06 12:00:00,292.2583,303.56897,-176.83772222222223,711.819111111111,-121.15765555555555,-259.55317777777776,1.9650906e-06,0.22625244,51.041847
11,1975-01-06 12:00:00,292.2583,303.56897,-176.83772222222223,711.819111111111,-121.15765555555555,-259.55317777777776,1.9650906e-06,0.22625244,51.041847
12,1975-01-07 12:00:00,294.25635,302.292,-170.9657638888889,634.7370000000001,-98.67138055555554,-224.8897388888889,2.1629035e-05,0.048891395,55.43588
13,1975-01-07 12:00:00,294.25635,302.292,-170.9657638888889,634.7370000000001,-98.67138055555554,-224.8897388888889,2.1629035e-05,0.048891395,55.43588
14,1975-01-08 12:00:00,290.7533,303.7924,-170.35908333333333,708.0510555555555,-118.77364444444444,-270.2457638888889,4.587695e-06,0.1051684,50.1803
15,1975-01-08 12:00:00,290.7533,303.7924,-170.35908333333333,708.0510555555555,-118.77364444444444,-270.2457638888889,4.587695e-06,0.1051684,50.1803
16,1975-01-09 12:00:00,291.3638,302.9601,-160.8361277777778,688.3734722222222,-110.44429722222222,-266.55361111111114,0.0,0.059603572,49.56971
17,1975-01-09 12:00:00,291.3638,302.9601,-160.8361277777778,688.3734722222222,-110.44429722222222,-266.55361111111114,0.0,0.059603572,49.56971
18,1975-01-10 12:00:00,289.8736,303.11072,-166.78390555555558,694.1108333333333,-118.40279444444444,-266.27133333333336,0.0,0.030732602,42.24259
19,1975-01-10 12:00:00,289.8736,303.11072,-166.78390555555558,694.1108333333333,-118.40279444444444,-266.27133333333336,0.0,0.030732602,42.24259
20,1975-01-11 12:00:00,291.54974,303.35556,-156.96844444444446,657.0972222222222,-107.66,-251.98819444444445,0.0,0.045168072,46.416042
21,1975-01-11 12:00:00,291.54974,303.35556,-156.96844444444446,657.0972222222222,-107.66,-251.98819444444445,0.0,0.045168072,46.416042
22,1975-01-12 12:00:00,289.61273,304.15857,-165.09381944444445,752.6008333333333,-134.27858333333333,-300.50569444444443,0.0,0.03814873,41.996433
23,1975-01-12 12:00:00,289.61273,304.15857,-165.09381944444445,752.6008333333333,-134.27858333333333,-300.50569444444443,0.0,0.03814873,41.996433
24,1975-01-13 12:00:00,283.7425,302.82022,-162.06034722222222,748.9102777777778,-138.5815888888889,-295.34569444444446,0.0,0.01443547,32.388382
25,1975-01-13 12:00:00,283.7425,302.82022,-162.06034722222222,748.9102777777778,-138.5815888888889,-295.34569444444446,0.0,0.01443547,32.388382
26,1975-01-14 12:00:00,288.92358,302.5304,-149.99144444444443,664.7418055555555,-108.31340277777778,-262.54529444444444,0.0,0.20037234,45.60245
27,1975-01-14 12:00:00,288.92358,302.5304,-149.99144444444443,664.7418055555555,-108.31340277777778,-262.54529444444444,0.0,0.20037234,45.60245
28,1975-01-15 12:00:00,287.71548,304.1136,-157.3801222222222,751.0036666666667,-135.36169444444442,-296.09088888888886,0.0,0.0,37.971634
29,1975-01-15 12:00:00,287.71548,304.1136,-157.3801222222222,751.0036666666667,-135.36169444444442,-296.09088888888886,0.0,0.0,37.971634
30,1975-01-16 12:00:00,288.70248,302.39978,-155.15918333333335,753.3141111111111,-135.3499222222222,-298.02166666666665,0.0,0.0,40.287735
31,1975-01-16 12:00:00,288.70248,302.39978,-155.15918333333335,753.3141111111111,-135.3499222222222,-298.02166666666665,0.0,0.0,40.287735
32,1975-01-17 12:00:00,282.68704,304.67322,-146.13458333333332,767.4248611111111,-153.55675000000002,-312.8129166666667,0.0,0.0,24.960564
33,1975-01-17 12:00:00,282.68704,304.67322,-146.13458333333332,767.4248611111111,-153.55675000000002,-312.8129166666667,0.0,0.0,24.960564
34,1975-01-18 12:00:00,284.09494,303.69174,-150.18644444444442,764.5717222222223,-149.86005555555553,-307.31419444444447,0.0,0.0,27.455685
35,1975-01-18 12:00:00,284.09494,303.69174,-150.18644444444442,764.5717222222223,-149.86005555555553,-307.31419444444447,0.0,0.0,27.455685
36,1975-01-19 12:00:00,273.25824,305.20786,-137.80335,787.8622222222223,-176.2961388888889,-327.3218888888889,0.0,0.0,10.541294
