,d2m,t2m,slhf,ssr,str,sshf,tp,lcc,r
d2m,0.0,-7.354548484284351,530.1814711992419,-237.15188554442142,354.60107828578464,438.1612066354999,294.43040581661523,293.9252159997739,230.37471553104805
t2m,230.37471553104805,0.0,537.5360196835262,-229.79733706013707,361.955626770069,445.5157551197843,301.7849543008996,301.27976448405826,237.7292640153324
slhf,237.7292640153324,237.7292640153324,0.0,-767.3333567436633,-175.58039291345722,-92.02026456374196,-235.75106538262665,-236.256255199468,-299.80675566819383
ssr,-299.80675566819383,-299.80675566819383,-299.80675566819383,0.0,591.7529638302061,675.3130921799213,531.5822913610366,531.0771015441953,467.52660107546944
str,467.52660107546944,467.52660107546944,467.52660107546944,467.52660107546944,0.0,83.56012834971526,-60.17067246916944,-60.67586228601077,-124.22636275473661
sshf,-124.22636275473661,-124.22636275473661,-124.22636275473661,-124.22636275473661,-124.22636275473661,0.0,-143.7308008188847,-144.23599063572604,-207.78649110445187
tp,-207.78649110445187,-207.78649110445187,-207.78649110445187,-207.78649110445187,-207.78649110445187,-207.78649110445187,0.0,-0.5051898168413316,-64.05569028556717
lcc,-64.05569028556717,-64.05569028556717,-64.05569028556717,-64.05569028556717,-64.05569028556717,-64.05569028556717,-64.05569028556717,0.0,-63.55050046872584
r,-63.55050046872584,-63.55050046872584,-63.55050046872584,-63.55050046872584,-63.55050046872584,-63.55050046872584,-63.55050046872584,-63.55050046872584,0.0
